,tunes
0,"F,2D2EDF2A2B2d4|BdB2e2d2G2A2FEA2|D2E2AG2AF4G4|B4G2E2D4E,2F,2|D2E2F2E2E2F2A2F2|F2B2DE3GF3B3d|d2fgg2e2de2fg2e2|f2e2d4d2G2FED2|F,2D2D2FEA2B2d2Bd|B4e2d2G3AE2G2|DF,E2GFG2E3FG2AG|d2B2G2E2E2D2F,4|F,2AGBdBAG2A2E2d2|B2A2A3BB2d2d2ed|g4g2f2e2fgf2e2|e2dBA3BA3dg2f2"
186,EFB2GA3F2G2G3A|A3Be2A2B2F2G2d2|G2A2A4A4B4|d2f2f2d2A4A2d2|F2B2A3BG4G2A2|A2B2e2BAB2F2G2d2|e2B2A2B2B2A2B4|d2f2f2d2AB2AA2d2|BAe2e2d2e2fef2e2|B2A2B2e2d2A2B2d2|G2d2d2A2d2f2f2ed|d2f2f2d2BA3A2B2|BAe2e2d2e2f2f2e2|B2A2B2e2d2A2B2d2|g2f2e2f2f2e2f2e2|d2f2f2d2A2BAA3B
187,"F,2e2B4A2F2F2E2|D2E2G2F2B2A2F2GF|B2G2A2G2G4F2D2|F2E2B2GFGAD2ABD2|F,2e2B2d2A2F2F2E2|D2E2GF2GAGD2f3e|g2e2efd2Bd3d2E2|F,DB2AGD2E2D2E2dB|F,2e2B2d2A2F2F2E2|D2E2G2FGB2FAGFAG|d2GFGAG2G2A2F2D2|F2E2BAGFA2D2BAF,2|D2e2B2d2A2F2F2E2|D2F2E2BdBGFGB2e2|ef2ee2d2B3AA2F2|E2F2ABD2DF,EDDEF,2"
188,"D4D2E2E4G2B2|A2E2F,2D2D2E2E2F2|F4G4A4G2A2|A2F2E2D2F,2D2F,2D2|D3F,D2E2E4G2B2|A2E2F,2D2D2E2E2F2|G2F2G4A4G2A2|A2F2E4F,2D2FEGA|F2D2D2E2D2E2GAB2|A2F2D4D2F2E2G2|G4B4A4G2A2|AGF2E2F,DF,2D2F,2F2|F2D2D2E2DE3GAB2|A2F2D4D2F2E2G2|G4B2A2A4G2A2|A2F2E2D2F,4E,2F,2"
189,"D2B2A2G2A2G2A2G2|A4B2G2d3BABGF|A2d2d2A2B2A2d2A2|f2ded4A2FEEFF,2|D2B2A2G2A2G2A2G2|A4B2A2d2e2f2g2|g2f2f2e2e2d2BdA2|d2f2e2Bdd2A2BAed|D2B2A2G2B2G2A2G2|A4B2G2d2BdBAG2|A2Bdd2G2B2A2d2AB|f2d2d4A2G2E2F,2|D2B2A2G2ABG2A2G2|A4A2B2A2d2AGf2|g2f2f2e2e2d2d4|d2e2e4e4efef"
190,B4e3df2e2e4|d2B2B4B2A2G4|defee4e4d4|A2B2Bd3d2B2B4|EDd2d4GFBdd4|d2B2B4B2A2F2G2|G2E2D2FGB2GAB4|B2A2d2e2e4edAB|E2F2d4efe2e4|e2B2B4B2A2G4|def2e4e4e2d2|A2B2B2d2d2B2B2F2|dBd2Bdedd2ABA2GA|G2A2B4B2A2G4|B2AGB2A2GA3B4|B2A2d3BB2G2B4
191,E4E2F2G4A4|A4d2B2d2B2A2G2|F2D2EDF2F2A2B2d2|e2d2d2B2A4GAE2|E4E2F2G4A2GA|A4d2B2dBG2Bd2B|G2DEDEFGF2A2B2d2|d2B2BA3B4e2f2|d2f2f2e2f2e2d4|d2e2e4d4d4|d4d4d4e4|e2d2d2B2B2d2AGA2|dBd2B2A2d2G2GAF2|A2d2B4GFE2EFA2|B2AGG2A2A3Be2d2|d2A2A2G2G3FE3D
192,"D4F2G2G2A2G2EF|F,2D2A3GA2F2E2G2|G2FGd2B2d2B2B2G2|GAGAB2E2D2E2D4|D4F2G2A4G2F2|F,2D2A2G2A2G2E2G2|G4d2B2d2B2B2G2|A2G2B2E2D2E2D4|ed3A3BB2d2d2B2|B4G2B2A2G2B2dB|d4A2F2D2E2EFGA|A4F2E2D4D2G2|d4A2B2B2d2d2B2|B4G2B2A2G2B4|d4A2B2d4A4|BA3F2E2D4D2E2"
193,A4A2B2F2A2A2B2|B2G2B2d2B2d2B2A2|G2F2F2G2D2A2D2G2|G2F2GAB2d4A2B2|A4A2B2F2A2A2B2|B2G2B2d2B2d2B2A2|G2A2d4d4B2dB|d2B2B4A2F2GAD2|BA3A2B2FGA2A2B2|B2G2B2d2B2d2B2A2|G2F2F2G2D2A2D2GA|F4A2B2d4BAdB|A4A2B2FGA2A2B2|B2G2B2d2B2d2d2A2|G4B4dBd2Bd3|d4d2B2F2EFFGEF
194,"A3GF2G2F,2D2D2G2|E2F2E2G2G4G4|A2B2G2d2GFG2E2A2|E2F2F2E2E2A2A2B2|GA3F2G2F,2D2D2G2|E2F2E2G2G4G2A2|A2B2G2d2G4E2A2|F4F2E2E2A2G3A|F,2D2D2E2A2F2e2B2|F2A2A4d4d4|E2D2E2F2B2d2f4|e4AGF2D2EFEFA2|F,2D2D2E2A2F2e2B2|F2A2A4d3Bd4|E2D2FEF2B2d2f4|e4GAG2D2E2F2A2"
195,"D2E2F4G4G2F2|E2D2E2F2A2F2D2GF|F,2D2EDE2D2F2E4|E2F2F2A2A2G2E2F2|D2E2F4A2G2G2F2|E4E4E2F2B2GF|D2B2B2A2G2d2e2Bd|A2B2A2EDF,4F,4|F,2E2F4A2G2G2F2|E2D2E2F2A2F2E2F2|F,DF,DD2E2D2FGEDE2|E3FF2G2A2FGF2E2|DF,E2F4A2G2G2FG|E2D2E2F2G2A2d2BA|E2dBdBA2A2BdB4|AB3B2EFD4D2F,D"
196,G4A4B2F2E2FE|B4B4A2F2D4|D2E2F2G2d2G2d2A2|A2F2DE3F2D2E2F2|AG2AG2A2A2B2e2d2|d4ABA2A2F2D2BA|B2GFG2E2D2G2F4|EFE2EDFEF2D2E4|B3dd4BdB2FEGA|d4d2B2G2F2D3E|F2AGGA3d2G2BABA|A2G2E4F2D2D2EF|BAFGd3Bd2e2f2e2|e2d2d2A2ABFED2EF|BdE2A2EDD2AGA2ED|F3EDE3E2D2EDF2
197,ABA2B2A2G2F2A4|G2A2A2G2A4F2A2|A4F2G2E2DEB2d2|G2B2A4A2G2G2A2|AEFAF2GAG2FGA4|G2A2A2G2A4F2A2|GA3F2E2D2BAB2e2|e2A2A3GFG3G3F|A2d2e2ded4B2A2|A4A2G2A4F2A2|A4G2A2G2E2B2dB|F2A2A4A2G2F2A2|FED2D2E2G2E2E4|EF3G2F2A4F2A2|E2D2D4D2G2B4|fed2B2A2G2FGG4
198,d2B2A2G2D2E2G2B2|B4A2G2G4F2E2|E2G2F2G2E4D2G2|F4E2GAE2F2D2GA|d2B2A2GAD2E2G2B2|B4A2G2G4F2E2|E2G2F2G2E2F2D2G2|G2F2E2A2A2dBd4|A4A4F2G2A2B2|B4A4B2A2G2F2|E2G2F2G2F2G2E2A2|G2A2G4E2GFF2GA|A4A4F2G2A2B2|B4A4B2A2G2F2|E2G2F2G2FG3E2A2|G4FG3FE3E4
199,"AGBdB2A2A4GAE2|D4G2A2d2A2A4|G2A2B2A2EF3E2D2|F,2D2D2AGFGE2G4|FE3G2A2F4A2FG|D2E2E4E2F2F2A2|G2AGF2G2B2d2B4|GAF2G2B2GFG2F2E2|AGA2B4A4A2E2|D4G2A2B2A2A4|G2A2A4E2F2E2D2|F,2D2D2A2G2FEGFG2|GEF2F2G2G2F2E4|D2E2E2D2D2E2E2FE|GAG2G2ABB4ABd2|B4A2B2GAG2G2FE"
200,"E,2D2D4F2D2D4|F,2E2A2E2A2G2F2A2|E4F2G2E4E2D2|d2e2d4d2GFF2E2|E,2D2D4F2D2D4|F,2F2GFE2F2G2A2G2|E2G2G2F2DEG2D4|F,4F,3E,E,F,3E,F,E,2|E,2D2D4F2D2D4|F,2E2A2EFA2G2G4|E2F2F2G2E3DE2D2|Bde2d4d2F2GFD2|F,E,D2D4F2D2D4|F,2E2FED2E2G2B2FE|D2F2A2EFF2A2G2D2|F,4F,2E,F,F,E,F,2F,2E,2"
201,"D4E2F2D2F,2D4|F,4F,4D4D2E2|D2F,2F,2D2D2E2F2E2|G2A2B2A2E2GFF,2D2|D4E2F2D2F,2D4|F,4F,4D4D2E2|B2AGA3GA2B2d2A2|A2EFED3F,4D2ED|D4E2F2D2F,2D4|F,4F,4D4D2E2|D2F,2F,4D2E2E3D|FGA2B2A2E2GAF,2D2|D4E2F2D2F,2E2D2|F,4F,4D4D2E2|A4E2GAA2d2d2B2|F2E2E2D2D3EAGde"
202,"F,2F2d4d2B2d2f2|d4A2B2B2A2G2D2|F,2G2d2B2f2d2d4|B2G2GFG2G2F2F2GF|F,2F2d4d2B2d2f2|d4AB3B4B2e2|e2dBd2F2E2dedeA2|A2G2F2E2D2E2E2D2|F,2F2d4d2B2d2f2|d4B3dB2A2F2D2|F,2F2d2B2e2d2d2ed|B2G2FGFGG2F2F2E2|F,2F2d4d2B2d2f2|d4B4B4B2f2|fed2BA3FAB2dBF2|B2A2GAG2FGFEB2e2"
203,d2f2f4g4g2f2|d2B2d4d2A2A2d2|g4g2dBg4f4|g4g2fge2d2dBd2|d2f2f4g4g2f2|d2B2d2e2d2A2A3B|FGD2E2G2EFG2A2BA|Bde2ed3d2e2ed2B|d2f2f4g4f4|d2B2d2e2d2A2ABde|g4g2d2g4f3e|g4g3fefd2d2EF|def2f4g4f4|d2B2d2e2d2A2A2B2|GF3FEBAFAE2A2E2|d4d4de3f2e2
204,"D4D4D4D2F,2|E,4F,E,D2D2E2D2F2|D4D2G2D4F,2D2|F,2D2D2F,DF,4DF,D2|GFDF,D2E2G2D2D4|F,2D2F,4F,2D2D2F2|D4G3FE2B2A4|G2D2F,2D2F,4D4|D4F,2D2F,3DD2F,2|E,4E,2D2D2E2D2G2|D4D2G2F,2E2DF,D2|F,2D2D2F,2F,4D4|A2GFD2EFFED2F,2D2|F,4F,4D2E2E4|D4E2G2E2ABA2B2|GFD2F,2D2D4DF,3"
205,d2FEB4d4A2d2|d2B2B2d2d2A2G4|A4d4f2B2B2d2|B2d2d4efg2g4|EDGAEDGAd4A2d2|d2BdB2d2d2A2A2G2|A4d4f2B2B2d2|B2d2d2B2d3ed4|ABD2A4d4A2d2|d2BdB2d2d2A2A2G2|A4d4f2B2B2d2|d4d4f2g2g4|BdFEB2G2d4A2d2|d2B2B2d2d2A2A2G2|A4d4f2B2B2d2|d4d4BAe2d2fg
206,"EDdeE2F,2F,2D2D2E2|D4F,2E2FEFGD2B2|FGA2A4D4GFDE|E4F2D2D2F,2D4|e2D2ABA2B3Ad2E2|EFD2d2B2d2F2A2EF|FGA2A4D4F2E2|D2F2FGB2ABE2A2EF|E2GADEF,2F,2D2D2FE|D4D4E2F2D2dB|F2AGA4D4G2E2|E4EFE2BAFEBAD2|BGABB2d2deG2DEDF,|E2D2d2D2GF2EBdD2|BdAGA4D3EF2E2|F2E2F2B2GFABDEF,2"
207,"A2F2F2A2D2F2A2B2|G2A2E3DE,2D2E2D2|D2GFG2A2A4F2A2|GFB2A2G2B2G2B2A2|A4F2A2D2F2A2B2|G2A2E4E,2D2E2D2|DEF2F2G2G2A2F2G2|FE3D2E2D2E2F4|B2F2F2A2D2F2AGB2|G2A2E4E,2D2E2D2|D2F2G2A2A4F2A2|F2B2GAFGB2A2B2E2|B2F2F2A2D2FGA2B2|G2A2E4E,2D2E2D2|EDF2G2A2A4F4|E2D2E4E2D2EDG2"
208,e2f2e4e4d4|d4f2d2d2G2A2F2|F2D2F2G2A4A2BA|G2A2fge2e3ddBe2|e2f2e2fee4d4|d4f2d2d2G2A2F2|F2D2F2A2A2F2B2d2|A2dBg2e2f4edf2|d4ABd2d2B2G2d2|d2ABded2d2G2A2F2|A2E2D2F2AGB2G2BA|AGB2g2e2e2d2B2d2|d4ABd2d2B2G2d2|d2A2e2d2d2G2A2F2|A2E2E4A2D2e3d|efg2g2f2e4d2ef
209,efede2d2d4d4|d2g2f2gfe2B2B2d2|g4e2g2f2eff4|B2e2e2f2g2f2e4|EDe2dB2dB2d2d2e2|d2g2f2g2e2B2B2d2|g4e2g2g2A2d2B2|d4g3fg4deA2|B2A2e3dd4d2e2|d2g2f2g2e2B2B2d2|g4e2g2f2e2f4|BAe2def2g2f2d2B2|BdA2ABdAB2d2efd2|d2g2f2gfe2B2B2d2|g4e2g2g2fee2de|f2g2g4f2ded4
210,"D3EE2F2d4e2d2|Bd3d4BAd2BdBd|B2d2dB3d4f4|g4g4f2e2g2d2|g4e4dBe2d2B2|ded2fgf2e2d2A2Bd|AGd2d4d2A2d4|e4d4d2BdABF,2|F,4D2EDd4e2B2|B4d2BAA2d2A2B2|A2B2B3Ad4f4|g4g2f2g2f2g2G2|f2g2f4d2e2B2dB|e4f2e2e2d2B2dB|e2d2f2d2d2e2e2d2|efe2d2e2d3Be2f2"
211,"FGF2D4E2FEEFE2|BAG2A2BAdBd2GFB2|D4E4D4F,2D2|D4D2E2D4FGF2|BAD2D4E2F2G4|F2E2E2DED4EFD2|D2E2E4D4F,2D2|D2E2D2F2F2E2EFD2|EFE2D2F,2D3EE4|A2G2A4B4F2A2|D4E3FD4F,2D2|D4D3EE2D2FED2|AG2FD4E2D2D2E2|D4D4D2F,2F2D2|D2E2E4D4F,2D2|E2FEE3FF2E2D2E,2"
212,"E4D2E2F,4F,2D2|F,2D2D2E2D2F2F2G2|F2G2E2G2D2E2D2F2|E2G2E2F2D4D3E|E4D2E2F,4F,2D2|E,F,D2D2E2D2F2G4|F2G2EFG2D2E2F,4|E,4F,4D2E2EFDE|E4D2E2F,4F,2D2|F,2D2D2E2D2F2F2G2|F2G2E2AGD2E2D2F2|DEG2E2F2DED2D4|D4D2E2F,4F,2D2|F,2D2D2E2D2F2G4|F2G2EFG2D2F2F,DF,2|E,4D3F,F3GEDF2"
213,e2f2g4g4g4|g4g4g2f2g4|g4g4g4g4|g4g4g4g2fe|D2d2gf3f4fgf2|g4g4g4g4|g4d2e2ed2eg2d2|e4B2d2g4g2e2|d2e2g4g4g4|g4g4g2f2g4|g4g4g4g4|g4g4g4g2BA|FGe2f3ef2g2g4|g4g4g4feg2|g4g4ef2ef2D2|f2edBdfedef2g4
214,"E4E2D2D2F,2E,2F,D|D4D4E2D2D2F2|G4G2F2E2F2F2E2|A2GAG2F2E4E2DE|DEFEE2D2D2F,2E,2DF,|D4E4D2F,2D2E2|G4FGF2E2G2FED2|D2F,2D4D4E2D2|D2F2E2D2D2F,2F,2D2|D4D4E2D2D2F2|G4G2F2E2G2FE3|A3GG2F2E4E2DE|D2EFE2D2D2F,2F,2D2|D2E2F2E2E4F2D2|E2A2G2FEE2FGE2D2|D2F,2D2F,2D4DF,D2"
215,"D3ED2F,2F,4F,2D2|F,4D4D2F2D2G2|D2G2FEB2F,2E2F2A2|B2d2d2A2d2EFB4|dAedB2d2B2AGE2D2|D4F2A2F3EF,2DE|D2FGAGE2F,2D2FE2F|E2FGE2GED2F,DF,4|F,4F,4F,4F,D2F,|F,4DF,D2D2E2F,2FG|D2F2F2AGD2F2F2A2|ABd2d2A2d2F2d2FG|d4d4A2E2F,2ED|D4A2EFF2A2ABE2|F2A2d2E2F,2EFF2B2|G3AFEB2FGEDE2FG"
216,A2G2A2G2B4d2B2|D2F2F4F2E2E2FE|ABG2A2E2B3AB2GF|E2G2E2GAED3D2E2|A2G2A2G2B4d2B2|D2F2F4G2E2E2F2|A2GAd2e2d4B2A2|E2A2E2A2D4D2E2|A2G2A2G2B4d2A2|D2F2F4F2E2E2F2|B2GFA2E2B4A2F2|E2A2E2A2ED3D2F2|A2G2A2G2B4d2A2|D2F2F4F2EFE2FE|A4G2e2e2d2B2A2|E2A2E2A2D4D2E2
217,A2d2e2d2d4B4|d2f2d2B2B2A2F2E2|G2B2B4d4ded2|ede2B4G2AGAGB2|F2d2e2d2dBe2e2B2|d2e2ded2B2A2F2E2|G2B2B4dBG2A4|F2EGdB3B2A2A2FG|d4e4f2e2A2ef|f2e2d2BAd2B2G2E2|A2B2B2d2d2e2f4|f2g2gfgff4e2d2|e3fefe2de3f2de|f2d2d4BdBAG2F2|A4A2d2d2G2BdBA|F2Bde4ededd2B2
218,d2GAA4B4B2d2|d2B2A2B2A2E2G2D2|E2D2E2F2B2E2E2F2|ABd2G4A2B2A2e2|d2AGBAB2B4B2d2|d2B2A2B2B2E2G2D2|E2D2E2F2B2E2F2G2|B2d2A2G2A2B2A2d2|D4E2FGFE3E2F2|E4A4G2D2FGB2|B2G2E4E2FGE2G2|F2G2E2G2AGA2GAd2|DED2E2FGF2E2E2F2|E4A4G2D2F2B2|B2G2E4E2F2E2G2|G2A2E2G2G2A2GA2B
219,B4B2d2f4f2e2|e2f2f2e2e2B2d2e2|g2ede2B2g2f2e4|B2ABB2A2B2A2G2B2|B4B2e2g2f2f2e2|e2f2f2e2e2dBd2f2|fgd2B2d2e4e4|B3Ad2A2d4A2d2|d2f2e2dBA4EFB2|B2d2de3d2B2d4|f2e2gfB2f4de2d|BA3d2B2B2A2G2FG|d2f2e2dBA4EFB2|B2d2e4edB2B2ef|efB2B2AGAB3d2F2|d2BdB4B2e2f2ef
220,"F,4F,4F,4F,2D2|F,2D2F,2E,2F,4E2GF|F,2F2E2D2D2E2D3E|A2E2E4D2F,DF,4|F,4F,4F,4F,2D2|F,2D2F,2E,2F,4E2G2|F,2F2E2D2D2E2D2E2|BAE2D2FEF,DF,2E2FG|F,4F,4F,4F,2D2|F,2D2F,2E,2F,4E2F2|F,2F2E4D2E2D2E2|A2E2EDE2D4F,4|F,4F,4F,4F,2D2|F,2D2F,2E,2F,2D2E2F2|F,2F2E2D2D2E2D4|A2E2D2E2D4F,4"
221,"BABdd2F2d4ABG2|GAD2A2d2B4B4|d2f2f2g2fef2d3e|B2dBBdA2d2A2d4|FDd2dBd2AGB2A2G2|B4GA3E3DD2GA|EFG2FE3F2d2e4|d2B2GA3F4G2EF|E2FGB2F2d4BAGF|AGD2GAB2B3AA2B2|B2f2f2g2e2f2d3e|AB2dBdA2d2B2e2d2|B2A2A2dAGAG2DEAG|AGBAd2B2ABA2FG3|A4B2FEF,2EFe2d2|dededB3FGEDFEF2"
222,"d2A2e4e2d2B4|B2A2A2d2d2A2B2A2|G2e2f4g4e2d2|f2g2g4g4g2e2|d2A2e4e2d2B4|B2A2A2d2d2B2B4|A2e2d4G2A2GABA|d4BAGFE2DF,D2F,2|d2A2e4e2d2B4|B2A2A2d2d2B2B4|GAefg4g4fed2|f2g2g4g4g2e2|d2A2e4e2d2B4|B2A2A2d2d2B2B4|G2d2d4FG2AB2AG|A3GABA2EDF,DD4"
223,B2d2d2B2G4A4|B2F2A2E2d2BAA4|B2d2d4dB2Ad2ef|d2e2e4d3BA2G2|A2e2d2B2G4A4|B2F2A2E2d2B2A4|B2d2d4e2A2B4|A2GAA2F2G2E2F2E2|A4d2B2G4A4|B2F2A2E2d2B2A4|B2d2d4d2A2d2f2|d2e2d2e2dBd2G2E2|B2d2d2B2A2G2A4|B2F2A2E2d2B2A4|B2d2d4d2BAd2e2|B4d2A2dBG2G2d2
224,"D2E2FEF2A4ABF2|F,D3D2EFE2F2D2E2|D2E2F2E2E2G2d2B2|BA3A2G2A2FGF3G|d2AGFG3F2A2d3B|B4d2B2dBG2E2GA|F2B2A4G2F2A4|A2FGG4E2D2D2E2|FE3E3FFGA2B2FE|F,2D2D2EFD2EFD2E2|D2FEF2E2FEF2B4|A4A2G2B2G2G2EG|AGBAA2d2B2A2F2A2|d2B2deGAdBA2BdGF|FGA2BA3F2G2B4|A2G2G2AGEFD2E2AB"
225,"GFABG2D2E3FEDF2|E2G2A2B2GAGFEDE2|D2E2E2FGD4GFG2|F2GFF2A2A2F2AGA2|BG2AG2B2A2GFBAF2|G2F2EFE2F2E2D2E2|F,2D2F,4D2G2G2A2|B4F2B2A2E2G4|D2EFFEDED2E2E2F2|E2G2GA3G2F2D2E2|D2E2E4D4F4|F2G2F2A2A2F2F2G2|BAEFG2A2d2BAA4|G4GAD2EF2ED2F,2|D4D4D2F2G2A2|d4G2A2A2F2F2G2"
226,E4E4F2E2E2F2|G2FGF2A2B4A4|GF3EDG2G2DED2E2|D2E2E4D4D2EF|E4E4F2E2E2FG|G4F2A2B4A4|G4G2F2F2A2E2FG|AGE2F2E2G2A2GAF2|E4E4F2E2E2G2|G4F2A2B4A4|GF3E2G2F2E2D2E2|D3EE4D4D2F2|D4D2EFF2E2E2G2|G4F2A2B4A4|F4FEA2GA3E2F2|BAFGA2G2A2G2F2G2
227,"D2F,2D2E2F,2D2F,2E2|A4E2D2D4E,2F,2|F,2D2D2E2E2G2G4|d4B2GFD2F2F3G|D2F,2D2E2F,2D2F,2E2|A4E2D2D4E,2F,2|F,2D2D2E2FEG2G3A|e2d2B2F2D2F2G2d2|F4F2G2D2E2D2F2|G2A2F2D2D4F,2D2|D2G2F4GFA2G2A2|d4B2G2D2G2GFA2|F4F2G2D2E2D2F2|G2A2F2D2D4F,2D2|D2G2F4G2A2G2A2|e2d2B2G2D2G2F2GA"
228,"D2E2A2E2G2FEF2D2|F2D2d2D2d2F2A4|G2E2A2D2A2D2E2F,2|E2F,2D2F2E2D2D2E2|D2E2A2E2G2E2F2D2|F2D2d2D2d2F2A4|G2F2A2EDA4F2D2|E2F,2D2F2F2D2D2F2|AGFGFGF2G2ABA2FG|A2G2d2A2B2F2A2B2|d2B2A2F2A2G2F2D2|E2DF,D2F2F2D2D2G2|G4G2F2G2ABA2GF|A4d2BAB2F2A4|d4A2B2d4A2E2|E2D2D2F2F2D2D2E2"
229,"F,4E,2F,2E,4E,F,3|E,4E,4F,2D2F2G2|E2G2G2A2D2FGE2D2|D4E2D2F,4F,4|F,4E,2DF,E,4F,4|E,4E,4F,2D2F2G2|E2G2G2BAD2G2D4|D2F,2F,4E,F,3F,2D2|F,4E,2F,DE,4F,4|E,4E,4F,2D2F2G2|E2G2G2BAD2G2E2D2|D4E2D2F,4D2F,2|F,4E,2D2E,4F,4|E,4E,4F,2D2F2G2|EFG2G2A2D2G2E2F,2|D2F,DDF,3F,E,F,2E,4"
230,"D3ED2F,2F,2D2E4|D2E2E2F2E2D2F,2D2|F,2E2G2A2GFA2A4|G2FGF2E2D2E2D2F,D|E2DF,D2E2B2E2G2A2|F2E2A2G2EFD2F,2D2|F,2EFG2A2G2A2A2G2|F2E2F4D4D2F,2|E2F2D2F,2DF,D2E4|D2E2E2F2E2D2F,2D2|D2F2G2A2G2A2A4|G2F2F3ED2E2D4|D2F,2D2FGB2G2F2AG|A2FGB2FGA2E2D4|D2F2G2A2G2A2A4|F4F2E2D4F,2D2"
231,"AGF2F2G2G2A2F2G2|A2G2d2A2G4EDA2|G2E2F2E2E2D2D2F,2|FEA2d2A2A2G2A4|G2F2FG3G2A2F2G2|A2G2d2A2GAG2EDA2|G2E2G2DEF4F2A2|A2E2D4D2E2G2A2|B2A2F2A2G2A2G4|A4B2A2G2A2EDG2|A2F2F2E2E2D2D4|F2G2B2A2A2GFA4|B2A2F2A2G2A2G4|A4B2A2G2A2DEG2|G2D2F2D2G2E2B2GF|F2D2F,4F,3E,E,2F,2"
232,"E2FGF,2E,2F,2FEG2A2|A2F2E2D2D2E2A3B|G4E2F2AG3BAd2|d4A3GBAB2D4|d2EDF,D3E2D2F2A2|A2F2E2D2D2E2A2FG|F2G2E2FGAG3B2d2|d4BA3B4A2FA|E4D2F,2F,2E2G2A2|A2G2ED3D2E2A2B2|B4F2G2G4B2d2|e2d2A4B4E2FG|F2E2D2G2B2GFEFG2|A2G2E2D2D2EDA2G2|A2B2F2G2G4B2d2|e2d2A4AB3GAFE"
233,"E2F,2d2F,2G2D2B2A2|d4B2E2A2D2E2FE|D4d2D2B2GFA2G2|d4F2B2D2G2E2B2|E2F,2d2D2G2D2d2A2|d4B2E2A2D2E4|FGF2BAE2A2G2A2G2|d4GFd2D2G2E2B2|F2F,2d2F,2GFD2d2A2|d4B2E2A2D2E2F2|D4B2D2B2G2B2G2|d2edG2dBD2G2F2B2|EFF,2d2D2G2D2d2A2|d4B2E2A2D2E3F|AG2FABE2B2G2B2G2|d2e2G2d2D2G2F2AB"
234,"GFBdB2A2G2A2A2G2|F2D2D2E2A2FGD2A2|G2FGG4F2G2B4|d2e2e2d2d3BB4|GAdBB2A2G2A2A4|F2E2A4BAFEA2EF|G4G4F2G2d2B2|B4A2G2G2F2A2G2|B4B3dB2GAA4|A2GFE2F2d2B2A2d2|deB2B2A2G2AGd2B2|d2f2f4f2g2f2d2|d4f4f2e2efd2|d4AB3d2B2d3B|f3eBdB2B2dBd2B2|B4A2GAD4F,2D2"
235,"E,2F,2F,4D2F2A2FG|D2F,2D4E2F,2F,4|F,4D4F,2D2BA3|AGF2A2E2D4E,4|E,2F,2F,4D2E2G2E2|F,4F,4E2F,2F,2F2|BAf2d4D2EFBA3|A2EFA2F2EFF,2F,3E,|F,2D2D4D2E2ABE2|F,4E2F2E2F,2D2E2|F2EDF2E2EDF2d2A2|G2F2A2E2E4E,4|F,2GFB2F2A2DED2E2|EFD2E2DEAF3ded2|g2f2efe2G2A2d2A2|G2F2A2E2D4FGFA"
236,e2B2A4E2F2G2B2|A2F2ED3E4G2A2|B2G2E2F2E2F2G2B2|G4E2A2G3FF2GA|e2dBA4E2G2G2B2|A2F2E2D2E4G2AB|B2G2F4E2F2G2B2|AG3E2A2G2F2F2AG|d4d4BA3B4|A4F2E2E4F2A2|d2B2A2B2A4A2B2|AG3EFA2G2F2F2G2|d4d4B2A2B4|A4F2E2E4F2A2|d2B2AB3A4A2B2|A2G2EFA2G2F2F4
237,"A4G4G2F2E4|E4F2E2B4A2GF|F4E2F2FGA2EFE2|D4E2G2B2F2B2A2|B4G4G2F2EFE2|E4F2E2B2A2d4|B2AGFGDEE2F2F2F,2|E,2F,2E2F2A2G2G3F|B4G4G2F2F2E2|E4F2E2B2A2AG3|F3EEF3G3AFEF2|D4E2G2B2G2A4|B4G4G2F2F2E2|E4F2E2A4d2B2|E2GFE3FG4E2DF,|F,2D2A4B2A2A4"
238,"D4E2D2F,4F,2D2|E2A2G2E2F2G2F2G2|E4E4E4E2D2|F2E2F4F4F2DE|D4E2D2F,4F,2D2|E2A2G2E2F2G2F2G2|D2F2E4E2G2FED2|GFD2D2E2D4D4|D4E2D2F,4F,2D2|E2A2G2E2F2G2F2G2|D2E2E4D2E2E2D2|F2E2F4F3GF2D2|D4E2D2F,4F,2D2|E2A2G2E2F2G2G4|E2F2E4E2F2EFD2|F2E2E4D4F,2D2"
239,d2e2d4B4B2G2|G2d2d2B2e4efd2|B4F2d2B2A2G2E2|EFd2d2A2e2dBd2e2|d2e2d2e2B4B2G2|GAd2d3Be4fede|B2A2F2d2B2A2G2E2|E2d2d2A2e2d2d2e2|e2f2d2B2e4f2g2|g2e2d2e2g2f2f4|f4B4B2d2e4|d2e2edB2d3BB2e2|e2f2d2B2efe2f2g2|g2e2d2e2g2f2f4|f2edd2B2d2B2ded2|def2e2dBd3BB2d2
240,d2BAA2F2E4B2E2|A2G2G2E2G2E2F2E2|A2GAF2DEEFE2BdE2|G3FF2A2G2B2B2A2|d2B2A2F2E4B2E2|A2G2G2F2G2E2GFE2|G2D2D4AB3EFGF|A2GFE2F2D2F2F4|d2ABA2FGE4B2E2|A2G2G2F2G2F2F2E2|A3GG2E2FE3BdE2|G3FG2A2A2BAB2AB|d2BAA2G2E4B2E2|A2G2G2F2G2F2F3E|F2D2D2FGdBA2F2GF|ABABA4A4GAG2
